"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2007","Ron Mahay","- - -","3","0","1","58","0","67.0","7.39","4.97","0.54",".261","82.9 %","48.9 %","6.3 %","2.55","4.08","4.48","0.5","290"
"2005","Kerry Wood","Cubs","3","4","0","21","10","66.0","10.50","3.55","1.91",".247","79.5 %","33.7 %","20.0 %","4.23","4.72","3.42","0.5","304"
"2002","Kevin Olsen","Marlins","0","5","0","17","8","55.2","6.14","5.01","0.81",".297","70.7 %","32.6 %","7.1 %","4.53","4.49","5.06","0.5","533"
"2000","David Weathers","Brewers","3","5","1","69","0","76.1","5.90","3.77","0.83",".288","80.3 %"," "," ","3.07","4.35"," ","0.5","902"
"2002","Jared Fernandez","Reds","1","3","0","14","8","50.2","6.39","4.26","0.89",".331","69.6 %","49.7 %","9.4 %","4.44","4.42","4.59","0.5","324"
"2009","Shane Loux","Angels","2","3","0","18","6","58.1","2.93","2.93","0.62",".356","64.1 %","46.7 %","5.4 %","5.86","4.52","5.29","0.5","1613"
"2007","Brian Wilson","Giants","1","2","6","24","0","23.2","6.85","2.66","0.38",".227","79.7 %","56.1 %","5.3 %","2.28","3.28","3.74","0.5","6485"
"2007","Jason Stanford","Indians","1","1","0","8","2","26.1","5.47","2.39","0.34",".337","65.7 %","46.2 %","2.7 %","4.78","3.54","4.81","0.5","1763"
"2000","Jamie Brewington","Indians","3","0","0","26","0","45.1","6.75","3.77","0.60",".361","67.3 %"," "," ","5.36","3.88"," ","0.5","1001411"
"2008","Jeremy Sowers","Indians","4","9","0","22","22","121.0","4.76","2.90","1.34",".301","62.7 %","42.2 %","12.7 %","5.58","5.05","4.66","0.5","9083"
"2005","Chris Ray","Orioles","1","3","0","41","0","40.2","9.52","3.98","1.11",".271","82.6 %","34.2 %","10.9 %","2.66","3.91","3.87","0.5","6315"
"2003","Tony Armas Jr.","Expos","2","1","0","5","5","31.0","6.68","2.32","1.16",".239","88.0 %","30.0 %","9.5 %","2.61","4.10","4.39","0.5","761"
"2003","Justin Duchscherer","Athletics","1","1","0","4","3","16.1","8.27","1.65","0.55",".320","72.8 %","40.0 %","5.6 %","3.31","2.91","3.72","0.5","910"
"2002","Andy Van Hekken","Tigers","1","3","0","5","5","30.0","1.50","1.80","0.60",".305","75.2 %","32.5 %","4.3 %","3.00","4.10","5.40","0.5","1630"
"2008","Brad Thompson","Cardinals","6","3","0","26","6","64.2","4.45","2.64","0.70",".313","64.4 %","50.7 %","8.1 %","5.15","4.17","4.43","0.5","4911"
"2000","Joey Hamilton","Blue Jays","2","1","0","6","6","33.0","4.09","3.27","0.82",".243","76.7 %"," "," ","3.55","4.68"," ","0.5","328"
"2000","Vic Darensbourg","Marlins","5","3","0","56","0","62.0","8.56","4.06","1.02",".303","72.7 %"," "," ","4.06","4.15"," ","0.5","516"
"2001","Kerry Ligtenberg","Braves","3","3","1","53","0","59.2","8.45","4.53","0.60",".280","78.0 %"," "," ","3.02","3.55"," ","0.5","100"
"2009","Shawn Camp","Blue Jays","2","6","1","59","0","79.2","6.55","3.28","0.79",".281","72.8 %","55.3 %","10.6 %","3.50","4.03","3.97","0.5","1855"
"2002","Jayson Durocher","Brewers","1","1","0","39","0","48.0","8.25","3.94","0.56",".202","80.8 %","39.7 %","6.3 %","1.88","3.38","3.95","0.5","1497"
"2009","Rich Hill","Orioles","3","3","0","14","13","57.2","7.18","6.24","1.09",".337","56.5 %","31.1 %","8.0 %","7.80","5.21","5.62","0.5","4806"
"2001","Charles Nagy","Indians","5","6","0","15","13","70.1","3.71","2.56","1.28",".346","63.9 %"," "," ","6.40","4.93"," ","0.5","397"
"2001","Al Levine","Angels","8","10","2","64","1","75.2","4.76","3.33","0.83",".268","83.3 %"," "," ","2.38","4.38"," ","0.5","20"
"2008","J.J. Putz","Mariners","6","5","15","47","0","46.1","10.88","5.44","0.78",".347","79.6 %","39.5 %","8.0 %","3.88","3.78","4.08","0.5","1795"
"2006","Manny Corpas","Rockies","1","2","0","35","0","32.1","7.52","2.23","0.84",".344","79.0 %","45.5 %","8.8 %","3.62","3.61","3.88","0.5","2807"
"2008","Phil Coke","Yankees","1","0","0","12","0","14.2","8.59","1.23","0.00",".222","90.0 %","50.0 %","0.0 %","0.61","1.63","2.71","0.5","5535"
"2003","Mike Maroth","Tigers","9","21","0","33","33","193.1","4.05","2.33","1.58",".295","65.5 %","44.3 %","16.1 %","5.73","5.32","4.62","0.5","1508"
"2008","Anthony Reyes","- - -","4","2","1","16","6","49.0","4.59","2.76","0.73",".272","83.6 %","42.5 %","6.9 %","2.76","4.15","4.65","0.5","7105"
"2007","Zach Miner","Tigers","3","4","0","34","1","53.2","5.70","3.69","0.50",".306","75.9 %","56.1 %","6.4 %","3.02","3.93","4.30","0.5","3193"
"2004","Chris Capuano","Brewers","6","8","0","17","17","88.1","8.15","3.77","1.83",".298","72.4 %","38.1 %","16.7 %","4.99","5.31","4.40","0.5","1701"
"2004","Chris Young","Rangers","3","2","0","7","7","36.1","6.69","2.48","1.73",".259","70.7 %","32.7 %","12.5 %","4.71","5.06","4.74","0.5","3196"
"2004","Bob Howry","Indians","4","2","0","37","0","42.2","8.23","2.53","1.05",".267","84.1 %","32.5 %","10.2 %","2.74","3.73","3.84","0.5","237"
"2002","Brandon Villafuerte","Padres","1","2","1","31","0","32.0","7.03","3.38","0.56",".293","94.5 %","57.6 %","8.7 %","1.41","3.52","3.71","0.5","1059"
"2004","Kerry Ligtenberg","Blue Jays","1","6","3","57","0","55.0","8.02","4.09","0.98",".370","65.5 %","37.6 %","7.1 %","6.38","4.16","4.94","0.5","100"
"2006","Shawn Hill","Nationals","1","3","0","6","6","36.2","3.93","2.95","0.49",".315","68.8 %","50.4 %","5.1 %","4.66","4.21","5.00","0.5","1882"
"2009","Bob Howry","Giants","2","6","0","63","0","63.2","6.50","3.25","0.71",".234","72.1 %","32.6 %","5.1 %","3.39","3.85","4.87","0.5","237"
"2006","Matt Capps","Pirates","9","1","1","85","0","80.2","6.25","1.34","1.34",".280","74.5 %","40.7 %","12.2 %","3.79","4.25","4.03","0.5","4788"
"2002","Dave Coggin","Phillies","2","5","0","38","7","77.0","7.48","5.96","0.47",".282","68.2 %","50.7 %","5.9 %","4.68","4.12","4.67","0.5","951"
"2005","Horacio Ramirez","Braves","11","9","0","33","32","202.1","3.56","2.98","1.38",".274","73.0 %","48.1 %","16.1 %","4.63","5.24","4.57","0.5","110"
"2007","Homer Bailey","Reds","4","2","0","9","9","45.1","5.56","5.56","0.60",".280","60.2 %","46.5 %","5.9 %","5.76","4.92","5.47","0.5","8362"
"2008","Sergio Romo","Giants","3","1","0","29","0","34.0","8.74","2.12","0.79",".157","61.4 %","32.5 %","6.8 %","2.12","3.31","3.87","0.5","9817"
